id,tradingsymbol,instrument_type,strike,expiry,instrument_token,lot_size,exchange_token,index_name,tick_size,last_updated
200,NIFTY2632423450PE,PE,23450,2026-03-24,16024322,65,62595,NIFTY,0.05,
201,NIFTY2632423400CE,CE,23400,2026-03-24,16023554,65,62592,NIFTY,0.05,
202,NIFTY2632423400PE,PE,23400,2026-03-24,16023810,65,62593,NIFTY,0.05,
203,NIFTY2632423350CE,CE,23350,2026-03-24,16023042,65,62590,NIFTY,0.05,
204,NIFTY2632423350PE,PE,23350,2026-03-24,16023298,65,62591,NIFTY,0.05,
205,NIFTY2632423300CE,CE,23300,2026-03-24,16022530,65,62588,NIFTY,0.05,
206,NIFTY2632423300PE,PE,23300,2026-03-24,16022786,65,62589,NIFTY,0.05,
207,NIFTY2632423250CE,CE,23250,2026-03-24,16020994,65,62582,NIFTY,0.05,
208,NIFTY2632423250PE,PE,23250,2026-03-24,16022274,65,62587,NIFTY,0.05,
209,NIFTY2632423200CE,CE,23200,2026-03-24,16020482,65,62580,NIFTY,0.05,
210,NIFTY2632423200PE,PE,23200,2026-03-24,16020738,65,62581,NIFTY,0.05,
211,NIFTY2632423150CE,CE,23150,2026-03-24,16019970,65,62578,NIFTY,0.05,
212,NIFTY2632423150PE,PE,23150,2026-03-24,16020226,65,62579,NIFTY,0.05,
213,NIFTY2632423100CE,CE,23100,2026-03-24,16019202,65,62575,NIFTY,0.05,
214,NIFTY2632423100PE,PE,23100,2026-03-24,16019714,65,62577,NIFTY,0.05,
215,NIFTY2632423050CE,CE,23050,2026-03-24,16018434,65,62572,NIFTY,0.05,
216,NIFTY2632423050PE,PE,23050,2026-03-24,16018946,65,62574,NIFTY,0.05,
217,NIFTY2632423000CE,CE,23000,2026-03-24,16017922,65,62570,NIFTY,0.05,
218,NIFTY2632423000PE,PE,23000,2026-03-24,16018178,65,62571,NIFTY,0.05,
219,NIFTY2632422950CE,CE,22950,2026-03-24,16017410,65,62568,NIFTY,0.05,
220,NIFTY2632422950PE,PE,22950,2026-03-24,16017666,65,62569,NIFTY,0.05,
221,NIFTY2632422900CE,CE,22900,2026-03-24,16016898,65,62566,NIFTY,0.05,
222,NIFTY2632422100CE,CE,22100,2026-03-24,15970050,65,62383,NIFTY,0.05,
223,NIFTY2632422100PE,PE,22100,2026-03-24,15970306,65,62384,NIFTY,0.05,
224,NIFTY2632422050CE,CE,22050,2026-03-24,15969538,65,62381,NIFTY,0.05,
225,NIFTY2632422050PE,PE,22050,2026-03-24,15969794,65,62382,NIFTY,0.05,
226,NIFTY2632422000CE,CE,22000,2026-03-24,15969026,65,62379,NIFTY,0.05,
227,NIFTY2632422000PE,PE,22000,2026-03-24,15969282,65,62380,NIFTY,0.05,
228,NIFTY2632421950CE,CE,21950,2026-03-24,15968514,65,62377,NIFTY,0.05,
229,NIFTY2632421950PE,PE,21950,2026-03-24,15968770,65,62378,NIFTY,0.05,
230,NIFTY2632421900CE,CE,21900,2026-03-24,15968002,65,62375,NIFTY,0.05,
231,NIFTY2632421900PE,PE,21900,2026-03-24,15968258,65,62376,NIFTY,0.05,
232,NIFTY2632421850CE,CE,21850,2026-03-24,15967490,65,62373,NIFTY,0.05,
233,NIFTY2632421850PE,PE,21850,2026-03-24,15967746,65,62374,NIFTY,0.05,
234,NIFTY2632421800CE,CE,21800,2026-03-24,15966978,65,62371,NIFTY,0.05,
235,NIFTY2632421800PE,PE,21800,2026-03-24,15967234,65,62372,NIFTY,0.05,
236,NIFTY2632421750CE,CE,21750,2026-03-24,15965954,65,62367,NIFTY,0.05,
237,NIFTY2632421750PE,PE,21750,2026-03-24,15966722,65,62370,NIFTY,0.05,
238,NIFTY2632421700CE,CE,21700,2026-03-24,15964930,65,62363,NIFTY,0.05,
239,NIFTY2632421700PE,PE,21700,2026-03-24,15965698,65,62366,NIFTY,0.05,
240,NIFTY2632421650CE,CE,21650,2026-03-24,15964418,65,62361,NIFTY,0.05,
241,NIFTY2632421650PE,PE,21650,2026-03-24,15964674,65,62362,NIFTY,0.05,
242,NIFTY2632421600CE,CE,21600,2026-03-24,15963906,65,62359,NIFTY,0.05,
243,NIFTY2632421600PE,PE,21600,2026-03-24,15964162,65,62360,NIFTY,0.05,
244,NIFTY2632421550CE,CE,21550,2026-03-24,15961090,65,62348,NIFTY,0.05,
245,NIFTY2632421550PE,PE,21550,2026-03-24,15961346,65,62349,NIFTY,0.05,
246,NIFTY2632421500CE,CE,21500,2026-03-24,15960578,65,62346,NIFTY,0.05,
247,NIFTY2632421500PE,PE,21500,2026-03-24,15960834,65,62347,NIFTY,0.05,
248,NIFTY2632421450CE,CE,21450,2026-03-24,15960066,65,62344,NIFTY,0.05,
249,NIFTY2632421450PE,PE,21450,2026-03-24,15960322,65,62345,NIFTY,0.05,
250,NIFTY2632421400CE,CE,21400,2026-03-24,15959554,65,62342,NIFTY,0.05,
251,NIFTY2632421400PE,PE,21400,2026-03-24,15959810,65,62343,NIFTY,0.05,
252,NIFTY2632421350CE,CE,21350,2026-03-24,15956994,65,62332,NIFTY,0.05,
253,NIFTY2632421350PE,PE,21350,2026-03-24,15957250,65,62333,NIFTY,0.05,
254,NIFTY2632421300CE,CE,21300,2026-03-24,15956482,65,62330,NIFTY,0.05,
255,NIFTY2632421300PE,PE,21300,2026-03-24,15956738,65,62331,NIFTY,0.05,
256,NIFTY2632421250CE,CE,21250,2026-03-24,15955970,65,62328,NIFTY,0.05,
257,NIFTY2632421250PE,PE,21250,2026-03-24,15956226,65,62329,NIFTY,0.05,
258,NIFTY2632421200CE,CE,21200,2026-03-24,15955458,65,62326,NIFTY,0.05,
259,NIFTY2632421200PE,PE,21200,2026-03-24,15955714,65,62327,NIFTY,0.05,
260,NIFTY2632421150CE,CE,21150,2026-03-24,15954946,65,62324,NIFTY,0.05,
261,NIFTY2632421150PE,PE,21150,2026-03-24,15955202,65,62325,NIFTY,0.05,
262,NIFTY2632421100CE,CE,21100,2026-03-24,15945474,65,62287,NIFTY,0.05,
263,NIFTY2632421100PE,PE,21100,2026-03-24,15945730,65,62288,NIFTY,0.05,
264,NIFTY2632421050CE,CE,21050,2026-03-24,15944450,65,62283,NIFTY,0.05,
265,NIFTY2632421050PE,PE,21050,2026-03-24,15944706,65,62284,NIFTY,0.05,
266,NIFTY2632421000CE,CE,21000,2026-03-24,15943426,65,62279,NIFTY,0.05,
267,NIFTY2632421000PE,PE,21000,2026-03-24,15943682,65,62280,NIFTY,0.05,
268,NIFTY2632420950CE,CE,20950,2026-03-24,15942914,65,62277,NIFTY,0.05,
269,NIFTY2632420950PE,PE,20950,2026-03-24,15943170,65,62278,NIFTY,0.05,
270,NIFTY2632420900CE,CE,20900,2026-03-24,15942402,65,62275,NIFTY,0.05,
271,NIFTY2632420900PE,PE,20900,2026-03-24,15942658,65,62276,NIFTY,0.05,
272,NIFTY2632420850CE,CE,20850,2026-03-24,15941890,65,62273,NIFTY,0.05,
273,NIFTY2632420850PE,PE,20850,2026-03-24,15942146,65,62274,NIFTY,0.05,
274,NIFTY2632420800CE,CE,20800,2026-03-24,15941378,65,62271,NIFTY,0.05,
275,NIFTY2632420800PE,PE,20800,2026-03-24,15941634,65,62272,NIFTY,0.05,
276,NIFTY2632420750CE,CE,20750,2026-03-24,15940866,65,62269,NIFTY,0.05,
277,NIFTY2632420750PE,PE,20750,2026-03-24,15941122,65,62270,NIFTY,0.05,
278,NIFTY2632420700CE,CE,20700,2026-03-24,15939330,65,62263,NIFTY,0.05,
279,NIFTY2632420700PE,PE,20700,2026-03-24,15940610,65,62268,NIFTY,0.05,
280,NIFTY2632420650CE,CE,20650,2026-03-24,15938818,65,62261,NIFTY,0.05,
281,NIFTY2632420650PE,PE,20650,2026-03-24,15939074,65,62262,NIFTY,0.05,
282,NIFTY2632420600CE,CE,20600,2026-03-24,15937282,65,62255,NIFTY,0.05,
283,NIFTY2632420600PE,PE,20600,2026-03-24,15938562,65,62260,NIFTY,0.05,
284,NIFTY2632420550CE,CE,20550,2026-03-24,15936770,65,62253,NIFTY,0.05,
285,NIFTY2632420550PE,PE,20550,2026-03-24,15937026,65,62254,NIFTY,0.05,
286,NIFTY2632420500CE,CE,20500,2026-03-24,15934210,65,62243,NIFTY,0.05,
287,NIFTY2632420500PE,PE,20500,2026-03-24,15934466,65,62244,NIFTY,0.05,
288,NIFTY26MAR22500CE,CE,22500,2026-03-30,13946370,65,54478,NIFTY,0.05,
289,NIFTY26MAR22500PE,PE,22500,2026-03-30,13946626,65,54479,NIFTY,0.05,
290,NIFTY26MAR22550CE,CE,22550,2026-03-30,13946882,65,54480,NIFTY,0.05,
291,NIFTY26MAR22550PE,PE,22550,2026-03-30,13947138,65,54481,NIFTY,0.05,
292,NIFTY26MAR22450CE,CE,22450,2026-03-30,13945858,65,54476,NIFTY,0.05,
293,NIFTY26MAR22450PE,PE,22450,2026-03-30,13946114,65,54477,NIFTY,0.05,
294,NIFTY26MAR22600CE,CE,22600,2026-03-30,13947394,65,54482,NIFTY,0.05,
